pdDistrict,total,vehicle,prostitution
BAYVIEW,14711,985,7
CENTRAL,18565,552,44
INGLESIDE,13414,1368,5
MISSION,18542,1198,66
NORTHERN,20092,945,42
PARK,9341,640,1
RICHMOND,9082,561,9
SOUTHERN,30095,795,96
TARAVAL,11966,789,81
TENDERLOIN,10735,113,23
