,LAT,LON,ZipCode,cc,k2,k3,k4,k5,k6,k7,k8,k9,k10
10451,40.820479,-73.925084,10451,0.0,0.0,2.0,2.0,0.0,0.0,2.0,4.0,2.0,4.0
10452,40.837393,-73.923437,10452,0.0,0.0,2.0,2.0,0.0,0.0,2.0,4.0,2.0,4.0
10453,40.852779,-73.912332,10453,0.0,0.0,2.0,2.0,0.0,0.0,2.0,4.0,2.0,4.0
10454,40.805489,-73.916585,10454,0.0,0.0,2.0,2.0,0.0,0.0,2.0,4.0,2.0,4.0
10455,40.81471,-73.908593,10455,0.0,0.0,2.0,2.0,0.0,0.0,2.0,4.0,2.0,4.0
10456,40.829881,-73.90812,10456,0.0,0.0,2.0,2.0,0.0,0.0,2.0,4.0,2.0,4.0
10457,40.84715,-73.89868,10457,0.0,0.0,2.0,2.0,0.0,0.0,2.0,4.0,2.0,4.0
10458,40.862543,-73.888143,10458,0.0,0.0,2.0,2.0,0.0,0.0,2.0,4.0,2.0,4.0
10459,40.825867,-73.892942,10459,0.0,0.0,2.0,2.0,0.0,0.0,2.0,4.0,2.0,4.0
10460,40.841758,-73.879571,10460,0.0,0.0,2.0,2.0,0.0,0.0,2.0,4.0,2.0,4.0
10461,40.847381,-73.840584,10461,0.0,0.0,2.0,2.0,0.0,0.0,2.0,4.0,2.0,4.0
10462,40.84328,-73.860389,10462,0.0,0.0,2.0,2.0,0.0,0.0,2.0,4.0,2.0,4.0
10463,40.880678,-73.90654,10463,0.0,0.0,2.0,2.0,0.0,0.0,2.0,4.0,2.0,4.0
10464,40.867787,-73.79992,10464,0.0,0.0,2.0,2.0,0.0,0.0,2.0,4.0,2.0,4.0
10465,40.822615,-73.822239,10465,0.0,0.0,2.0,2.0,0.0,0.0,2.0,4.0,2.0,4.0
10466,40.890964,-73.846239,10466,0.0,0.0,2.0,2.0,0.0,0.0,2.0,4.0,2.0,4.0
10467,40.869953,-73.865746,10467,0.0,0.0,2.0,2.0,0.0,0.0,2.0,4.0,2.0,4.0
10468,40.868093,-73.89973,10468,0.0,0.0,2.0,2.0,0.0,0.0,2.0,4.0,2.0,4.0
10469,40.868607,-73.848133,10469,0.0,0.0,2.0,2.0,0.0,0.0,2.0,4.0,2.0,4.0
10470,40.88953,-73.872662,10470,0.0,0.0,2.0,2.0,0.0,0.0,2.0,4.0,2.0,4.0
10471,40.898868,-73.903328,10471,0.0,0.0,2.0,2.0,0.0,0.0,2.0,4.0,2.0,4.0
