,Sanitationn,Food,Homeless,Neighbourhood,Noise,ZipCode
11212,3458.0,120.0,75.0,1618.0,4022.0,11212
11213,3530.0,95.0,64.0,1440.0,4926.0,11213
11214,2659.0,158.0,28.0,2095.0,2241.0,11214
11215,3139.0,194.0,248.0,2149.0,3372.0,11215
11216,3831.0,105.0,142.0,1427.0,7480.0,11216
11217,1972.0,131.0,208.0,1595.0,4897.0,11217
11218,2329.0,116.0,124.0,1680.0,2818.0,11218
11219,2573.0,58.0,236.0,1986.0,1560.0,11219
11220,2365.0,187.0,176.0,2727.0,3307.0,11220
11221,4283.0,101.0,77.0,2115.0,7561.0,11221
11222,1678.0,112.0,243.0,1928.0,3278.0,11222
11223,2368.0,113.0,39.0,2032.0,2366.0,11223
11224,996.0,91.0,156.0,900.0,1702.0,11224
11225,2827.0,82.0,75.0,1127.0,5505.0,11225
11226,5859.0,134.0,154.0,1395.0,9682.0,11226
11228,1060.0,48.0,4.0,1243.0,735.0,11228
11229,2377.0,134.0,66.0,2772.0,2227.0,11229
11230,3045.0,110.0,157.0,2244.0,3002.0,11230
11231,1950.0,81.0,74.0,1653.0,1865.0,11231
11232,812.0,55.0,53.0,2038.0,1522.0,11232
11233,3876.0,86.0,63.0,1749.0,4122.0,11233
11234,3085.0,101.0,42.0,4216.0,2759.0,11234
11235,2829.0,171.0,148.0,2578.0,3009.0,11235
11236,3068.0,89.0,46.0,2231.0,2902.0,11236
11237,2120.0,104.0,177.0,1452.0,7393.0,11237
11238,2695.0,99.0,125.0,1503.0,7278.0,11238
11239,90.0,35.0,4.0,165.0,115.0,11239
11241,2.0,0.0,2.0,2.0,0.0,0
11242,0.0,0.0,1.0,0.0,1.0,11242
11249,876.0,53.0,39.0,854.0,3589.0,11249
11354,1405.0,230.0,75.0,2068.0,1394.0,11354
11355,1780.0,166.0,46.0,1385.0,1788.0,11355
11356,821.0,34.0,15.0,1389.0,1196.0,11356
11357,1540.0,30.0,11.0,2198.0,803.0,11357
11358,1316.0,48.0,6.0,1813.0,896.0,11358
11359,0.0,0.0,0.0,13.0,1.0,11359
11360,393.0,17.0,1.0,541.0,331.0,11360
11361,1145.0,54.0,15.0,1390.0,564.0,11361
11362,549.0,22.0,4.0,965.0,188.0,11362
11363,289.0,4.0,3.0,671.0,141.0,11363
11364,808.0,33.0,5.0,1729.0,415.0,11364
11365,1020.0,41.0,6.0,1682.0,1034.0,11365
11366,522.0,28.0,8.0,1108.0,2356.0,11366
11367,981.0,54.0,24.0,1143.0,1416.0,11367
11368,2138.0,105.0,78.0,1729.0,4058.0,11368
11369,832.0,43.0,19.0,1258.0,1496.0,11369
11370,611.0,32.0,11.0,1240.0,643.0,11370
11371,0.0,1.0,2.0,1.0,0.0,0
11372,1397.0,203.0,62.0,1167.0,3180.0,11372
11373,2206.0,105.0,449.0,1672.0,2871.0,11373
11374,938.0,103.0,30.0,981.0,1591.0,11374
11375,1902.0,132.0,198.0,2034.0,2324.0,11375
11377,2182.0,119.0,188.0,2868.0,3053.0,11377
11378,1346.0,50.0,38.0,2817.0,915.0,11378
11379,1251.0,32.0,21.0,1699.0,716.0,11379
11385,4361.0,179.0,104.0,3706.0,5261.0,11385
11411,808.0,18.0,10.0,1141.0,411.0,11411
11412,2026.0,24.0,14.0,1589.0,1012.0,11412
11413,1608.0,32.0,17.0,2058.0,716.0,11413
11414,1651.0,51.0,31.0,1471.0,759.0,11414
11415,606.0,29.0,53.0,630.0,1510.0,11415
11416,1033.0,30.0,28.0,1249.0,1278.0,11416
11417,2403.0,52.0,40.0,1715.0,1084.0,11417
11418,1601.0,71.0,62.0,1737.0,1737.0,11418
11419,2208.0,92.0,16.0,1534.0,2452.0,11419
11420,2543.0,74.0,20.0,2592.0,2596.0,11420
11421,1236.0,35.0,20.0,1583.0,1900.0,11421
11422,1197.0,29.0,9.0,1583.0,623.0,11422
11423,1330.0,25.0,37.0,1155.0,1074.0,11423
11426,528.0,15.0,2.0,787.0,278.0,11426
11427,653.0,24.0,17.0,1028.0,754.0,11427
11428,632.0,25.0,17.0,1006.0,642.0,11428
11429,939.0,10.0,20.0,1033.0,436.0,11429
11430,13.0,25.0,8.0,65.0,8.0,11430
11432,2241.0,136.0,215.0,1762.0,1926.0,11432
11433,2392.0,29.0,82.0,1407.0,1352.0,11433
11434,2843.0,78.0,31.0,2531.0,1733.0,11434
11435,2114.0,56.0,107.0,1861.0,2133.0,11435
11436,901.0,16.0,13.0,989.0,726.0,11436
11691,2723.0,45.0,33.0,2034.0,2225.0,11691
11692,699.0,23.0,4.0,667.0,862.0,11692
11693,498.0,20.0,11.0,505.0,790.0,11693
11694,895.0,28.0,9.0,962.0,991.0,11694
11697,14.0,4.0,4.0,37.0,11.0,11697
