,NUM,LAT,LON,cc,k2,k3,k4,k5,k6,k7,k8,k9,k10,ZipCode
10303,7874.0,40.629885,-74.17413,0,1,0,1,2,1,4,1,5,4,10303
10304,13933.0,40.609227,-74.092575,0,1,0,1,2,1,4,1,5,4,10304
10305,12391.0,40.596691,-74.074866,0,1,0,1,2,1,4,1,5,4,10305
10306,16744.0,40.571768,-74.12595,0,1,0,1,2,1,4,1,5,4,10306
10307,3166.0,40.509183,-74.237785,0,1,0,1,2,1,4,1,5,4,10307
10308,7930.0,40.551884,-74.147646,0,1,0,1,2,1,4,1,5,4,10308
10309,8725.0,40.531346,-74.219857,0,1,0,1,2,1,4,1,5,4,10309
10310,8611.0,40.632648,-74.116148,0,1,0,1,2,1,4,1,5,4,10310
10312,16294.0,40.545237,-74.180443,0,1,0,1,2,1,4,1,5,4,10312
10314,23379.0,40.599263,-74.165748,0,1,0,1,2,1,4,1,5,4,10314
10451,18853.0,40.820479,-73.925084,0,1,0,1,2,2,2,4,0,0,10451
10452,34797.0,40.837393,-73.923437,0,1,0,1,2,2,2,4,0,0,10452
10453,39814.0,40.852779,-73.912332,0,1,0,1,2,2,2,4,0,0,10453
10454,11539.0,40.805489,-73.916585,0,1,0,1,2,2,2,4,0,0,10454
10455,14265.0,40.81471,-73.908593,0,1,0,1,2,2,2,4,0,0,10455
10456,34143.0,40.829881,-73.90812,0,1,0,1,2,2,2,4,0,0,10456
10457,32925.0,40.84715,-73.89868,0,1,0,1,2,2,2,4,0,0,10457
10458,39157.0,40.862543,-73.888143,0,1,0,1,2,2,2,4,0,0,10458
10459,19538.0,40.825867,-73.892942,0,1,0,1,2,2,2,4,0,0,10459
10460,24527.0,40.841758,-73.879571,0,1,0,1,2,2,2,4,0,0,10460
10461,19579.0,40.847381,-73.840584,0,1,0,1,2,2,2,4,0,0,10461
10462,27293.0,40.84328,-73.860389,0,1,0,1,2,2,2,4,0,0,10462
10463,26241.0,40.880678,-73.90654,0,1,0,1,2,2,2,4,0,0,10463
10464,2503.0,40.867787,-73.79992,0,1,0,1,2,2,2,4,0,0,10464
10465,12891.0,40.822615,-73.822239,0,1,0,1,2,2,2,4,0,0,10465
10466,25528.0,40.890964,-73.846239,0,1,0,1,2,2,2,4,0,0,10466
10467,43086.0,40.869953,-73.865746,0,1,0,1,2,2,2,4,0,0,10467
10468,36876.0,40.868093,-73.89973,0,1,0,1,2,2,2,4,0,0,10468
10469,19075.0,40.868607,-73.848133,0,1,0,1,2,2,2,4,0,0,10469
10470,7846.0,40.88953,-73.872662,0,1,0,1,2,2,2,4,0,0,10470
10471,6406.0,40.898868,-73.903328,0,1,0,1,2,2,2,4,0,0,10471
10472,32041.0,40.829556,-73.869336,0,1,0,1,2,2,2,4,0,0,10472
10473,13794.0,40.81869,-73.858474,0,1,0,1,2,2,2,4,0,0,10473
10474,7703.0,40.810549,-73.884367,0,1,0,1,2,2,2,4,0,0,10474
10475,4051.0,40.875169,-73.823817,0,1,0,1,2,2,2,4,0,0,10475
11004,2928.0,40.746204,-73.711478,0,0,1,0,3,4,6,6,7,6,11004
11101,19937.0,40.747155,-73.93975,0,0,1,0,3,4,6,6,7,6,11101
11102,10419.0,40.772884,-73.926295,0,0,1,0,3,4,6,6,7,6,11102
11103,12347.0,40.762574,-73.913447,0,0,1,0,3,4,6,6,7,6,11103
11104,8031.0,40.744634,-73.920201,0,0,1,0,3,4,6,6,7,6,11104
11105,11427.0,40.778877,-73.906769,0,0,1,0,3,4,6,6,7,6,11105
